no,store,sku,cat_code,cat_name,material_name,count_name,quantity,cost,price_avg
1737,MAIN,ASPRD30I000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีขาว,ใบ,36,"61,344.00","1,704.00"
1738,MAIN,ASPRD30J000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีม่วง,ใบ,9,"9,669.33","1,074.37"
1739,MAIN,ASPRD30K000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีเงิน,ใบ,11,"11,818.07","1,074.37"
1740,MAIN,ASPRD30M000,2PVC,BALLOONSERV,บอลลูนกลม 3m สีดำ,ใบ,3,"55,561.89","18,520.63"
1741,MAIN,ASPRD40I000,2PVC,BALLOONSERV,บอลลูนกลม 4m สีขาว,ใบ,3,"13,166.76","4,388.92"
1742,MAIN,ASPRD50I000,2PVC,BALLOONSERV,บอลลูนกลม 5m สีขาว,ใบ,3,,
1743,MAIN,ASPRD50K000,2PVC,BALLOONSERV,บอลลูนกลม 5m สีเงิน,ใบ,1,,
1747,MAIN,ASSE003000S,1S05,BALLOONSERV,สายไฟ VCT 2*0.5 พร้อมปลั๊กตัวผู้,ชิ้น,250,"11,650.00",46.6
1754,MAIN,ASSN0043460,1S05,BALLOONSERV,โครงสกายทิ้ว 0.43x0.46 เมตร,ชิ้น,266,"103,496.11",389.0831
1755,MAIN,ASSP000000S,1S05,BALLOONSERV,ฝาครอบพลาสติก,ชิ้น,682,"61,404.00",90.0352
1756,MAIN,ASSV000000S,1S05,BALLOONSERV,แผงตะแกรงล่าง,ชิ้น,62,"8,521.22",137.439
951,MAIN,ALQ260005B0,1BL,BK,ลูกโป่งยาง 260  White (BK),ใบ,274,164.4,0.6
953,MAIN,ALQ260006B0,1BL,BK,ลูกโป่งยาง 260Q Green (BK),ใบ,78,46.8,0.6
955,MAIN,ALQ260010B0,1BL,BK,ลูกโป่งยาง 260Q Red (BK),ใบ,13,7.8,0.6
966,MAIN,ALQ260038B0,1BL,BK,ลูกโป่งยาง 260 P.Pink (BK),ใบ,135,81,0.6
972,MAIN,ALQ260049B0,1BL,BK,ลูกโป่งยาง 260 P.Gold (BK),ใบ,,,
974,MAIN,ALQ260051B0,1BL,BK,ลูกโป่งยาง 260 Silver (BK),ใบ,106,79.6,0.7509
977,MAIN,ALQ260061B0,1BL,BK,ลูกโป่งยาง 260 P.Orange (BK),ใบ,"2,300","1,380.00",0.6
982,MAIN,ALQ260080B0,1BL,BK,ลูกโป่งยาง 260 Black (BK),ใบ,314,188.68,0.6009
746,MAIN,ALH000P00B0,1BL,BK LATEX,ลูกโป่งหัวใจสกรีน,ใบ,,,
764,MAIN,ALH006M37B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.White (BK)",ใบ,,,
765,MAIN,ALH006M38B0,1BL,BK LATEX,"ลูกโป่งยางหัวใจ 6"" P.Pink (BK)",ใบ,11,5.61,0.51
